Client,Project,ProjectCode,Type
Access Pipeline,Remediation of SharePoint Issues,07-PS,Cloud Prod
Access Pipeline,SAMSAM Cryptolocker Incident,12-ACCES2016-008-PS,Other
BluEarth Renewables,Office 365 Migration,14-BLUEA2016-001-PS,Cloud Prod
Stratiform,Azure Billing Tool,STRAT2017-001-PS,Azure
WestJet Encore,ICAS Project,04-WESTJ2014-001-PS,Development
Bennett Jones,Windows 10 Enterprise and Office 2016,01-BENNE2016-002-PS,Mod Comp
Pacific Blue Cross,Azure ADFS and ProPlus Implementation,04-PACIF2016-003-PS,Cloud Prod
KAL TIRE,Provisioning Strategy & Toolset,03-KALTI2016-003-PS,Azure
Paramount Resources LTD.,SCCM/App-V Implementation,12-PARAM2016-002-PS,Mod Comp
Carey Management Inc.,Office 365 Implementation,12-CAREY2016-001-PS,Cloud Prod
Canadian Natural Resources Limited,OMS Log Analytics POC,01-CANAD2016-001-PS-MF,Azure
Ridgeback Resources Inc.,Exchange 2016 Upgrade,02-LIGHT2016-002-PS,Cloud Prod
AltaLink,QAT Sharepoint in Azure Deployment,12-ALTAL2016-002-PS,Cloud Prod
Canexus Corporation,MS Cloud Strategy & Readiness,01-CANEX2016-003-PS,Azure
Peloton Computer Enterprises,Prodview SaaS Architectural Planning,12-PELOT2016-004-PS,Other
Hylife Ltd,Exchange Online Migration,02-HYLIF2016-002-PS,Cloud Prod
Fountain Tire,Azure Site Recovery Implementation - Phase 2,02-FOUNT2016-003-PS,Azure
MEG Energy,Offsite Services Readiness Planning,12-MEGEN2016-003-PS,Azure
Fountain Tire,Azure Site Recovery Production Implementation,01-FOUNT2016-004-PS,Azure
Censeo Group,SharePoint Online at PennWest,01-CENSE2016-002-PS,Cloud Prod
KAL TIRE,Windows 10,10-KALTI2017-001-PS,Mod Comp
Rogers Insurance,Office 365 Migration,02-ROGERS2016-001-PS,Cloud Prod
Saje,Azure Everywhere,10-SAJE2016-001-PS-MF,Azure
Calfrac Well Services,Build and Release Management Configuration,03-CALFR2016-001-PS,Development
Bennett Jones,Exchange 2016 Implementation,01-BENNE2016-003-PS,Cloud Prod
Integrated Environments (2006) Ltd.,Azure Drone Servers,07-INTEG2016-006-PS,Azure
Alberta Securities Commission,Exchange Online Implementation,01-ALBER2017-001-PS,Cloud Prod
Bonavista Energy,Microsoft Program Management,01-BONAV2015-002-PS,Mod Comp
ATCO Ltd,OneDrive for Business Migration,12-ATCOG2016-003-PS,Cloud Prod
Integrated Environments (2006) Ltd.,Proceed Azure Migration,07-INTEG2016-001-PS,Azure
Pembina Pipeline Corporation,SQL in Azure,01-PEMBI2017-001-PS-MF,Azure
Integrated Environments (2006) Ltd.,Infrastructure Planning,07-INTEG2014-001-PS,Azure
ARC Resources Ltd.,Ad Hoc,01-ARCRE2016-003-PS-MF,Other
Liquor Stores GP,Azure Site Recovery Design,01-LIQUO2016-001-PS,Azure
Vista Projects,Support Services2,12-VISTB2016-004-PS,Other
Vista Projects,Support Services,12-VISTB2014-001-PS,Other
Access Pipeline,Exchange Server Decommission,12-ACCES2016-006-PS,Cloud Prod
Media Logic,Azure Migration,16-MEDIA2015-001-PS,Azure
Pengrowth Energy Corporation,Adhoc Consulting,01-PENGR2016-002-PS,Other
Trimac Management Services LP,Azure AD Connect Upgrade,01-TRIMA2016-002-PS,Cloud Prod
County of Rocky View,Exchange 2013 Upgrade - Implementation Phase,01-COUNT2017-001-PS-MF,Cloud Prod
Boardwalk Equities,AD Cleanup,12-BOARD2016-04-PS,Cloud Prod
ATCO Ltd,Windows 10 Enterprise Pilot,12-ATCOG2016-002-PS-MF,Mod Comp
United Safety Ltd.,Ad Hoc Consulting,12-UNITE2017-001-PS,Other
Paramount Resources LTD.,Exchange Online Migration,12-PARAM2016-001-PS,Cloud Prod
Bonavista Energy,Citrix SSL Certification,02-BONAV2016-005-PS,Mod Comp
PE Computer Services Ltd o/a Go Auto,Azure Assessment,01-GOAUT2017-001-PS,Azure
Travel Alberta,Dev/Ops Architect Role,01-TRAVA2017-002-PS,Azure
Bonavista Energy,Azure Rights Management & HR Test Documents,01-BONAV2017-001-PS,Azure
Access Pipeline,Password Hardening & Policy Configuration,12-ACCES2017-001-PS,Cloud Prod
WestJet Encore,General Consulting,12-WESTJ2017-001-PS,Development
The Ship & Anchor Pub,OneNote Setup,14-THESH2017-002-PS,Cloud Prod
DIRTT Environmental Solutions Ltd.,Ad Hoc SCCM Training,01-DIRTT2016-003-PS,Mod Comp
Travel Alberta,Windows Intune Desktop Management & Decomm of SCCM,01-TRAVA2017-001-PS,Mod Comp
De Beers Canada Inc.,Microsoft Intune POC,14-DEBEE2016-002-PS,Mod Comp
Sproule Associates,MS Exchange Autodiscover Sync Issues,14-SPROU2017-002-PS,Cloud Prod
Access Pipeline,Consulting,12-ACCES2014-001-PS,Other
DIRTT Environmental Solutions Ltd.,Microsoft InTune MDM Implementation,01-DIRTT2016-002-PS,Mod Comp
BCAA,Office 365 Base Framework,10-BCAA2017-001-PS,Cloud Prod
Bellatrix Exploration,Health Check and Planning,01-BELLAT2016-001-PS,Cloud Prod
Altitude Communications,Senior Network Consultant,01-ALTIT2017-001-PS,Other
Horizon North Logistics,Exchange in Azure,01-HORIZ2016-001-PS - MF,Cloud Prod
Fountain Tire,Azure Site Recovery Planned Failover,01-FOUNT2016-005-PS,Azure
Integrated Environments (2006) Ltd.,Q9 Move Out,07-INTEG2016-005-PS,Azure
Rogers Insurance,SharePoint Online Setup,01-ROGER2017-001-PS,Cloud Prod
Access Pipeline,Deployment of LAPS,12-ACCES2017-003-PS,Mod Comp
UFA,Office 365 Planning and Assessment,12-UFA2016-001-PS-MF,Cloud Prod
